batch_size,epochs,optimizer,activation,mse,mae,r2,rmse
10,20,sgd_001,relu,0.08313054297198279,0.2257766635683729,0.8287872379692494,0.28832367743905946
10,20,sgd_001,tanh,0.07442264858952712,0.2126660495272492,0.8467217130176652,0.27280514765951014
10,20,sgd_001,sigmoid,0.08369674223390355,0.22610418399836177,0.8276211137503098,0.2893038925315447
10,20,sgd_0001,relu,0.08479805518839224,0.22579652088057384,0.8253528880650546,0.2912010562968346
10,20,sgd_0001,tanh,0.09177177074928687,0.23827526102843583,0.8109900671317185,0.3029385593635892
10,20,sgd_0001,sigmoid,0.1262641969734917,0.2781799402570169,0.7399506711184105,0.3553367374385763
10,20,adam_001,relu,0.07810526963253647,0.21601556305877379,0.8391371153746703,0.2794732002044856
10,20,adam_001,tanh,0.09393682701547632,0.23793770117291596,0.8065309928849497,0.30649115324178006
10,20,adam_001,sigmoid,0.07356215790634492,0.20961500336048805,0.8484939495663788,0.2712234464539246
10,20,adam_0001,relu,0.0732029349563515,0.20929938332610046,0.8492337926042612,0.27056040907041723
10,20,adam_0001,tanh,0.07149623018298681,0.21000850587835326,0.8527488621295176,0.26738778989136136
10,20,adam_0001,sigmoid,0.06973075461827227,0.20479797343446096,0.8563849739234037,0.2640658149368681
10,20,sgd_005,relu,0.0777598680970118,0.21630765622150086,0.8398484923101821,0.2788545644184649
10,20,sgd_005,tanh,0.09067439812792934,0.23780378345641837,0.8132501774445173,0.3011218991171671
10,20,sgd_005,sigmoid,0.07920527202713536,0.22175123414660056,0.836871588872778,0.2814343120998848
10,20,sgd_01,relu,0.07865164191534678,0.2159952087053245,0.8380118261092251,0.2804490005604348
10,20,sgd_01,tanh,0.11384954981178132,0.26859766223069637,0.7655194446907185,0.3374159892651522
10,20,sgd_01,sigmoid,0.07041862738313465,0.2071360101795038,0.8549682552086286,0.2653650832026223
10,20,adam_005,relu,0.08339913458571183,0.22725979976368427,0.8282340560652126,0.2887890832176864
10,20,adam_005,tanh,0.26393204351985644,0.4080193724687802,0.456414783977958,0.5137431688303568
10,20,adam_005,sigmoid,0.48731454794231394,0.567842117252445,-0.003656017970313119,0.69807918457888
10,20,adam_01,relu,0.4861949988340654,0.5685329925994111,-0.0013502337398783038,0.6972768451870931
10,20,adam_01,tanh,0.26916357739998503,0.4210747942313577,0.4456400995689298,0.5188097699542531
10,20,adam_01,sigmoid,0.8216798564098317,0.6993551055365513,-0.6923031258002432,0.9064655847906371
10,50,sgd_001,relu,0.07112586283840237,0.20784738737414163,0.8535116577731557,0.26669432472102284
10,50,sgd_001,tanh,0.07052128247316318,0.2102542613707049,0.8547568303715959,0.2655584351384139
10,50,sgd_001,sigmoid,0.07768192180561348,0.21829099276696584,0.8400090277687903,0.27871476782835436
10,50,sgd_0001,relu,0.07806959459842833,0.2161569363424266,0.8392105904285654,0.2794093674135288
10,50,sgd_0001,tanh,0.08065297738246506,0.22596122167669794,0.8338899455004227,0.283994678440398
10,50,sgd_0001,sigmoid,0.09015314777902243,0.23527738405345086,0.8143237264525627,0.3002551378062038
10,50,adam_001,relu,0.07815783117941896,0.21550044254931355,0.8390288614490176,0.27956722121775823
10,50,adam_001,tanh,0.09027510298242077,0.23210525837198467,0.8140725517763081,0.300458155127167
10,50,adam_001,sigmoid,0.07174123820354128,0.20629286907278557,0.8522442521700596,0.2678455491576093
10,50,adam_0001,relu,0.07072824430055442,0.2096719454846247,0.8543305790223832,0.26594782251515886
10,50,adam_0001,tanh,0.07078878049816374,0.20723717111121,0.8542059007846984,0.26606161034272446
10,50,adam_0001,sigmoid,0.06815233821869861,0.2037759013501261,0.8596358251959224,0.26106002799873174
10,50,sgd_005,relu,0.08528902375731301,0.22949558402456582,0.8243417063531351,0.29204284575608597
10,50,sgd_005,tanh,0.09655825298672567,0.24391444349050923,0.8011319955375125,0.31073823869412287
10,50,sgd_005,sigmoid,0.07071839164288561,0.20807930501249192,0.8543508712119025,0.2659292982032736
10,50,sgd_01,relu,0.07815249065179339,0.21946476378575736,0.8390398606131368,0.2795576696350744
10,50,sgd_01,tanh,0.09076979251588009,0.23982241454418013,0.8130537064958218,0.30128025576841255
10,50,sgd_01,sigmoid,0.12041913207031164,0.27509689304872276,0.7519889625880058,0.3470145992178307
10,50,adam_005,relu,0.4865523809680619,0.5682707843367947,-0.0020862854974446066,0.6975330680104435
