dataset,batch_size,epochs,optimizer,activation,mse,mae,r2,rmse,predNAN
,,,,,,,,,
2022all,10,20,sgd_001,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,20,sgd_001,tanh,0.114599166,0.253900841,0.851880428,0.338524985,0
,,,,,,,,,
2022all,10,20,sgd_001,sigmoid,0.238147657,0.3704531,0.692193842,0.488003746,0
,,,,,,,,,
2022all,10,20,sgd_0001,relu,2.653030143,0.372595885,-2.429044936,1.628812495,0
,,,,,,,,,
2022all,10,20,sgd_0001,tanh,0.20156776,0.335295262,0.739473405,0.448962983,0
,,,,,,,,,
2022all,10,20,sgd_0001,sigmoid,0.568002614,0.603794331,0.265855878,0.753659481,0
,,,,,,,,,
2022all,10,20,adam_001,relu,0.166812699,0.280786914,0.784394368,0.408427104,0
,,,,,,,,,
2022all,10,20,adam_001,tanh,0.080729666,0.216370894,0.8956568,0.284129665,0
,,,,,,,,,
2022all,10,20,adam_001,sigmoid,0.078233603,0.210857708,0.898882966,0.279702705,0
,,,,,,,,,
2022all,10,20,adam_0001,relu,0.166251267,0.243419595,0.78512002,0.407739214,0
,,,,,,,,,
2022all,10,20,adam_0001,tanh,0.084249775,0.221140616,0.891107055,0.290258118,0
,,,,,,,,,
2022all,10,20,adam_0001,sigmoid,0.098707869,0.232184618,0.87241995,0.314178085,0
,,,,,,,,,
2022all,10,20,sgd_005,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,20,sgd_005,tanh,0.093108185,0.228195514,0.879657549,0.305136338,0
,,,,,,,,,
2022all,10,20,sgd_005,sigmoid,0.128491948,0.264162028,0.833923989,0.358457735,0
,,,,,,,,,
2022all,10,20,sgd_01,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,20,sgd_01,tanh,0.090740205,0.225052306,0.882718166,0.301231149,0
,,,,,,,,,
2022all,10,20,sgd_01,sigmoid,0.116270502,0.263766732,0.849720224,0.340984606,0
,,,,,,,,,
2022all,10,20,adam_005,relu,0.812673454,0.748717085,-0.050381505,0.901484029,0
,,,,,,,,,
2022all,10,20,adam_005,tanh,0.170799759,0.31949464,0.779241087,0.413279275,0
,,,,,,,,,
2022all,10,20,adam_005,sigmoid,0.793445127,0.73470575,-0.025528867,0.890755369,0
,,,,,,,,,
2022all,10,20,adam_01,relu,0.773842135,0.711205087,-0.000191973,0.879682974,0
,,,,,,,,,
2022all,10,20,adam_01,tanh,0.682517228,0.680237141,0.117845589,0.826146009,0
,,,,,,,,,
2022all,10,20,adam_01,sigmoid,0.830767939,0.707747268,-0.073768649,0.911464722,0
,,,,,,,,,
2022all,10,50,sgd_001,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,50,sgd_001,tanh,0.095736047,0.233610471,0.876261034,0.309412422,0
,,,,,,,,,
2022all,10,50,sgd_001,sigmoid,0.141929757,0.276394172,0.816555603,0.376735659,0
,,,,,,,,,
2022all,10,50,sgd_0001,relu,1.882905533,0.315316741,-1.433657869,1.37219005,0
,,,,,,,,,
2022all,10,50,sgd_0001,tanh,0.149584106,0.281024395,0.806662347,0.386761045,0
,,,,,,,,,
2022all,10,50,sgd_0001,sigmoid,0.411395777,0.504704259,0.468270419,0.641401416,0
,,,,,,,,,
2022all,10,50,adam_001,relu,0.78100789,0.72314408,-0.009453722,0.883746508,0
,,,,,,,,,
2022all,10,50,adam_001,tanh,0.086390538,0.22852027,0.888340116,0.293922674,0
,,,,,,,,,
2022all,10,50,adam_001,sigmoid,0.077726536,0.218579579,0.89953835,0.278794793,0
,,,,,,,,,
2022all,10,50,adam_0001,relu,0.569287349,0.2491439,0.264195355,0.754511331,0
,,,,,,,,,
2022all,10,50,adam_0001,tanh,0.07574722,0.210046293,0.902096619,0.275222128,0
,,,,,,,,,
2022all,10,50,adam_0001,sigmoid,0.086801544,0.222771881,0.88780889,0.294621018,0
,,,,,,,,,
2022all,10,50,sgd_005,relu,0.780164668,0.703309661,-0.008363856,0.883269307,0
,,,,,,,,,
2022all,10,50,sgd_005,tanh,0.08221781,0.216628825,0.893733372,0.286736482,0
,,,,,,,,,
2022all,10,50,sgd_005,sigmoid,0.101393993,0.238764003,0.868948131,0.318424235,0
,,,,,,,,,
2022all,10,50,sgd_01,relu,0.81245528,0.748570655,-0.050099514,0.901363012,0
,,,,,,,,,
2022all,10,50,sgd_01,tanh,0.086301234,0.225504065,0.888455543,0.293770716,0
,,,,,,,,,
2022all,10,50,sgd_01,sigmoid,0.104493539,0.247818351,0.864941964,0.323254604,0
,,,,,,,,,
2022all,10,50,adam_005,relu,0.776279949,0.716989599,-0.003342851,0.881067505,0
,,,,,,,,,
2022all,10,50,adam_005,tanh,0.185043163,0.340961585,0.760831469,0.430166437,0
,,,,,,,,,
2022all,10,50,adam_005,sigmoid,0.774060064,0.712179249,-0.000473647,0.879806833,0
,,,,,,,,,
2022all,10,50,adam_01,relu,0.777318703,0.718598169,-0.004685443,0.881656795,0
,,,,,,,,,
2022all,10,50,adam_01,tanh,0.644233109,0.677526189,0.167327862,0.802641333,0
,,,,,,,,,
2022all,10,50,adam_01,sigmoid,1.18459602,0.931484176,-0.531091908,1.088391483,0
,,,,,,,,,
2022all,10,80,sgd_001,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,80,sgd_001,tanh,0.088958512,0.22547548,0.885021006,0.298259136,0
,,,,,,,,,
2022all,10,80,sgd_001,sigmoid,0.129778156,0.279647845,0.832261563,0.360247354,0
,,,,,,,,,
2022all,10,80,sgd_0001,relu,1.043038283,0.29537591,-0.348128347,1.021292457,0
,,,,,,,,,
2022all,10,80,sgd_0001,tanh,0.125465565,0.263398595,0.837835593,0.354211187,0
,,,,,,,,,
2022all,10,80,sgd_0001,sigmoid,0.337866111,0.443750743,0.563307609,0.581262515,0
,,,,,,,,,
2022all,10,80,adam_001,relu,0.109630424,0.228858253,0.858302533,0.331104854,0
,,,,,,,,,
2022all,10,80,adam_001,tanh,0.088295847,0.223975586,0.885877502,0.297146171,0
,,,,,,,,,
2022all,10,80,adam_001,sigmoid,0.099525288,0.235649732,0.871363435,0.315476288,0
,,,,,,,,,
2022all,10,80,adam_0001,relu,1.671094548,0.261533749,-1.159891893,1.292708222,0
,,,,,,,,,
2022all,10,80,adam_0001,tanh,0.072925772,0.201739713,0.905743344,0.270047722,0
,,,,,,,,,
2022all,10,80,adam_0001,sigmoid,0.079654984,0.208016711,0.897045829,0.282232146,0
,,,,,,,,,
2022all,10,80,sgd_005,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,80,sgd_005,tanh,0.083253157,0.220708215,0.892395185,0.288536232,0
,,,,,,,,,
2022all,10,80,sgd_005,sigmoid,0.107465459,0.243872767,0.861100754,0.327819247,0
,,,,,,,,,
2022all,10,80,sgd_01,relu,0.779286791,0.721151911,-0.007229199,0.882772219,0
,,,,,,,,,
2022all,10,80,sgd_01,tanh,0.09571765,0.239015802,0.876284812,0.309382691,0
,,,,,,,,,
2022all,10,80,sgd_01,sigmoid,0.098668193,0.23958005,0.872471231,0.314114937,0
,,,,,,,,,
2022all,10,80,adam_005,relu,0.782998338,0.725260409,-0.012026378,0.884871933,0
,,,,,,,,,
2022all,10,80,adam_005,tanh,0.147031993,0.302114034,0.809960957,0.38344751,0
,,,,,,,,,
2022all,10,80,adam_005,sigmoid,0.100268581,0.249103862,0.870402728,0.316652145,0
,,,,,,,,,
2022all,10,80,adam_01,relu,0.786327214,0.728488093,-0.016328954,0.886750931,0
,,,,,,,,,
2022all,10,80,adam_01,tanh,0.361239762,0.500936635,0.533097135,0.601032247,0
,,,,,,,,,
2022all,10,80,adam_01,sigmoid,0.863596175,0.778741732,-0.116199188,0.929298755,0
,,,,,,,,,
2022all,10,120,sgd_001,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,120,sgd_001,tanh,0.085213641,0.216744226,0.889861258,0.291913756,0
,,,,,,,,,
2022all,10,120,sgd_001,sigmoid,0.120586035,0.254495693,0.844142392,0.347255,0
,,,,,,,,,
2022all,10,120,sgd_0001,relu,1.309560446,0.287116492,-0.692608593,1.144360278,0
,,,,,,,,,
2022all,10,120,sgd_0001,tanh,0.117745879,0.253206221,0.847813297,0.343141195,0
,,,,,,,,,
2022all,10,120,sgd_0001,sigmoid,0.303766797,0.416777816,0.607381017,0.55115043,0
,,,,,,,,,
2022all,10,120,adam_001,relu,0.125668441,0.227904563,0.837573375,0.354497448,0
,,,,,,,,,
2022all,10,120,adam_001,tanh,0.081654153,0.2193066,0.8944619,0.285751908,0
,,,,,,,,,
2022all,10,120,adam_001,sigmoid,0.081353716,0.215555999,0.894850216,0.285225728,0
,,,,,,,,,
2022all,10,120,adam_0001,relu,1.504799301,0.262453885,-0.944955068,1.226702613,0
,,,,,,,,,
2022all,10,120,adam_0001,tanh,0.072279903,0.204613694,0.906578131,0.268849219,0
,,,,,,,,,
2022all,10,120,adam_0001,sigmoid,0.074675721,0.203594728,0.903481533,0.273268587,0
,,,,,,,,,
2022all,10,120,sgd_005,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,120,sgd_005,tanh,0.076066785,0.206398267,0.90168358,0.275802076,0
,,,,,,,,,
2022all,10,120,sgd_005,sigmoid,0.097935913,0.2333655,0.873417703,0.312947142,0
,,,,,,,,,
2022all,10,120,sgd_01,relu,0,0,0,0,100
,,,,,,,,,
2022all,10,120,sgd_01,tanh,0.074409883,0.204098503,0.903825128,0.27278175,0
,,,,,,,,,
2022all,10,120,sgd_01,sigmoid,0.110065631,0.254102522,0.857740028,0.331761407,0
,,,,,,,,,
2022all,10,120,adam_005,relu,0.784340439,0.726597056,-0.013761045,0.885629967,0
,,,,,,,,,
2022all,10,120,adam_005,tanh,0.206317307,0.349025828,0.73333461,0.45422165,0
,,,,,,,,,
2022all,10,120,adam_005,sigmoid,0.806595962,0.70390845,-0.042526338,0.898106877,0
,,,,,,,,,
2022all,10,120,adam_01,relu,0.785894181,0.728067961,-0.015769258,0.886506729,0
,,,,,,,,,
2022all,10,120,adam_01,tanh,0.243084544,0.383636406,0.685812908,0.493036047,0
,,,,,,,,,
2022all,10,120,adam_01,sigmoid,1.32060926,0.98942359,-0.706889198,1.149177645,0
,,,,,,,,,
2022all,20,20,sgd_001,relu,0,0,0,0,100
,,,,,,,,,
2022all,20,20,sgd_001,tanh,0.122605904,0.259333906,0.841531708,0.350151259,0
,,,,,,,,,
2022all,20,20,sgd_001,sigmoid,0.347193178,0.462236688,0.551252363,0.589231005,0
,,,,,,,,,
2022all,20,20,sgd_0001,relu,1.176137215,0.414285009,-0.520158891,1.084498601,0
,,,,,,,,,
2022all,20,20,sgd_0001,tanh,0.215863709,0.356185152,0.720995873,0.464611353,0
,,,,,,,,,
2022all,20,20,sgd_0001,sigmoid,0.680218855,0.667673959,0.120816238,0.824753815,0
,,,,,,,,,
2022all,20,20,adam_001,relu,0.114782262,0.245492735,0.851643776,0.33879531,0
,,,,,,,,,
2022all,20,20,adam_001,tanh,0.075523864,0.209306506,0.902385306,0.274816055,0
,,,,,,,,,
2022all,20,20,adam_001,sigmoid,0.07985472,0.212519851,0.89678767,0.282585775,0
,,,,,,,,,
2022all,20,20,adam_0001,relu,1.678506011,0.282058022,-1.169471218,1.295571693,0
,,,,,,,,,
2022all,20,20,adam_0001,tanh,0.083008478,0.218251354,0.892711433,0.28811192,0
,,,,,,,,,
2022all,20,20,adam_0001,sigmoid,0.099360731,0.236659485,0.871576125,0.315215372,0
,,,,,,,,,
2022all,20,20,sgd_005,relu,0.121091944,0.252323606,0.843488504,0.347982677,0
,,,,,,,,,
2022all,20,20,sgd_005,tanh,0.112397023,0.256562127,0.8547267,0.335256653,0
,,,,,,,,,
2022all,20,20,sgd_005,sigmoid,0.139890409,0.286323406,0.819191463,0.374019263,0
,,,,,,,,,
2022all,20,20,sgd_01,relu,0,0,0,0,100
,,,,,,,,,
2022all,20,20,sgd_01,tanh,0.094853926,0.226852091,0.877401177,0.307983645,0
,,,,,,,,,
2022all,20,20,sgd_01,sigmoid,0.124714629,0.262942494,0.838806179,0.353149585,0
,,,,,,,,,
2022all,20,20,adam_005,relu,0.773707318,0.709124365,-1.77E-05,0.879606343,0
,,,,,,,,,
2022all,20,20,adam_005,tanh,0.137473692,0.29426409,0.822315074,0.370774448,0
,,,,,,,,,
2022all,20,20,adam_005,sigmoid,0.084262267,0.21939665,0.89109091,0.290279636,0
,,,,,,,,,
2022all,20,20,adam_01,relu,0.775818347,0.705241885,-0.002746231,0.880805511,0
,,,,,,,,,
2022all,20,20,adam_01,tanh,0.181833103,0.336426216,0.764980476,0.426418929,0
,,,,,,,,,
2022all,20,20,adam_01,sigmoid,0.79769289,0.702800755,-0.031019105,0.893136546,0
,,,,,,,,,
2022all,20,50,sgd_001,relu,106.3823871,1.065051974,-136.4993747,10.31418378,0
,,,,,,,,,
2022all,20,50,sgd_001,tanh,0.108935086,0.251425269,0.859201258,0.330053157,0
,,,,,,,,,
2022all,20,50,sgd_001,sigmoid,0.209242061,0.337354147,0.729554363,0.457429842,0
,,,,,,,,,
2022all,20,50,sgd_0001,relu,1.204069186,0.34025542,-0.556261,1.097300864,0
,,,,,,,,,
2022all,20,50,sgd_0001,tanh,0.173696633,0.307030329,0.775496874,0.416769281,0
,,,,,,,,,
2022all,20,50,sgd_0001,sigmoid,0.539429453,0.58998608,0.302786726,0.734458612,0
,,,,,,,,,
2022all,20,50,adam_001,relu,0.098241875,0.230863632,0.873022247,0.3134356,0
,,,,,,,,,
2022all,20,50,adam_001,tanh,0.08606089,0.22299515,0.888766187,0.293361364,0
,,,,,,,,,
2022all,20,50,adam_001,sigmoid,0.077754306,0.209014798,0.899502458,0.278844591,0
,,,,,,,,,
